Membership No  Date Joined  Active  
    42049      2016-11-21   yes   
    12582      2018-3-25    yes   
    15405      2018-6-2     yes   
    51850      2017-8-2     no    
    23072      2019-8-6     no    
    68799      2017-7-6     no    
    68368      2018-12-13   yes   
    49863      2015-11-2    yes   
    35461      2016-4-14    no    
    88283      2017-6-21    no    
    43116      2016-3-12    no    
    62409      2017-9-1     no    
    12562      2019-12-3    no    
    84614      2018-5-10    yes   
    31783      2016-4-7     no    
    37710      2019-5-1     yes   
    69042      2020-6-7     yes   
    54545      2015-11-7    yes   
    47904      2018-12-23   yes   
    43004      2018-10-13   yes   
